Model,Test F1 Score,Test Recall,Test ROC-AUC,Training Time (s)
Random Forest,0.8586759028582298,0.8227513227513228,0.9710551350574387,95.7432729403178
XGBoost,0.8316232479726321,0.8227513227513228,0.9777912830313075,3.669292688369751
Gradient Boosting,0.25063512118750286,0.8756613756613757,0.9780081516253306,395.53488699595135
Logistic Regression,0.10742947762164433,0.9100529100529101,0.9804020418710492,2.0916190147399902
